cursor,owner,name,repoUrl,clients,prUrl,title,number,state,draft,files,javaFiles,baseRepo,baseRef,baseRefPrefix,headRepo,headRef,headRefPrefix,createdAt,publishedAt
Y3Vyc29yOjEx,google,guava,https://github.com/google/guava,304728,https://github.com/google/guava/pull/6232,"Fixes for issues #3965, #1710, #5882 and #5773",6232,OPEN,false,10,10,google/guava,master,refs/heads/,u6873285/guava,master,refs/heads/,2022-10-29,2022-10-29
Y3Vyc29yOjEx,google,guava,https://github.com/google/guava,304728,https://github.com/google/guava/pull/6225,added testput_nullvaluesupported to test,6225,OPEN,false,1,1,google/guava,master,refs/heads/,alvonellos/guava,#6217_Add_test_that_putIfAbsent_replaces_a_null_value_,refs/heads/,2022-10-23,2022-10-23
Y3Vyc29yOjEx,google,guava,https://github.com/google/guava,304728,https://github.com/google/guava/pull/6218,PR: Fix #3720,6218,OPEN,false,4,4,google/guava,master,refs/heads/,yonghao97/guava,fix_3720,refs/heads/,2022-10-17,2022-10-17
Y3Vyc29yOjEx,google,guava,https://github.com/google/guava,304728,https://github.com/google/guava/pull/6188,Fix Spliterator implementations for sorted collections,6188,OPEN,false,2,2,google/guava,master,refs/heads/,kilink/guava,sorted-collection-spliterator-fix,refs/heads/,2022-09-28,2022-09-28
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10929,InstantiationAwareBeanPostProcessorAdapter即将废弃，不再兼容Spring Boot 3.x,10929,OPEN,false,1,1,apache/dubbo,3.1,refs/heads/,chang6666/dubbo,3.1,refs/heads/,2022-11-13,2022-11-13
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10926,Add some logs,10926,OPEN,false,3,3,apache/dubbo,3.2,refs/heads/,AlbumenJ/dubbo,1112_add_log,refs/heads/,2022-11-12,2022-11-12
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10925,Fix early update directory,10925,OPEN,false,7,7,apache/dubbo,3.2,refs/heads/,AlbumenJ/dubbo,1112_fix_notify,refs/heads/,2022-11-12,2022-11-12
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10923,Distinguish demo for users and developers,10923,OPEN,false,82,36,apache/dubbo,3,refs/heads/,chickenlj/incubator-dubbo,distinguish-demo-for-users-developers,refs/heads/,2022-11-12,2022-11-12
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10921,fix NPE bug of URL,10921,OPEN,false,1,1,apache/dubbo,3.1,refs/heads/,x-shadow-man/dubbo,bugfix_URL_NPE,refs/heads/,2022-11-11,2022-11-11
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10894,"Port Unification is disabled by default, and the spi key implemented by Netty4 port unification is changed",10894,OPEN,false,4,3,apache/dubbo,3.1,refs/heads/,CrazyHZM/dubbo,fix/pu,refs/heads/,2022-11-08,2022-11-08
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10885,Feature/modify xds subscribe,10885,OPEN,false,3,2,apache/dubbo,3.2,refs/heads/,aamingaa/dubbo,feature/modify_xds_subscribe,refs/heads/,2022-11-06,2022-11-06
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10839,"Cache jvm system parameters to prevent each call from being executed, affecting performance",10839,OPEN,false,21,21,apache/dubbo,3.1,refs/heads/,CrazyHZM/dubbo,feat/performance_of_configuration,refs/heads/,2022-10-27,2022-10-27
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10811,Triple flowcontrol,10811,OPEN,false,29,27,apache/dubbo,3.2,refs/heads/,asa3311/dubbo,tri-flow,refs/heads/,2022-10-24,2022-10-24
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10754,[WIP] issue 10753: optimize eventloop performance,10754,OPEN,false,1,1,apache/dubbo,3.2,refs/heads/,icodening/dubbo,10753,refs/heads/,2022-10-15,2022-10-15
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10745,Adaptive loadbalance,10745,OPEN,false,8,6,apache/dubbo,3.2,refs/heads/,ningboliu/dubbo,adaptiveLoadbalance,refs/heads/,2022-10-13,2022-10-13
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10726,Enqueue soon,10726,OPEN,false,32,28,apache/dubbo,3.2,refs/heads/,owen200008/dubbo,enqueueSoon,refs/heads/,2022-10-10,2022-10-10
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10695,[WIP] xds proxyless support route,10695,OPEN,false,31,29,apache/dubbo,3.2,refs/heads/,haoyann/dubbo,feat-xds-route,refs/heads/,2022-09-28,2022-09-28
Y3Vyc29yOjEz,apache,dubbo,https://github.com/apache/dubbo,50218,https://github.com/apache/dubbo/pull/10673,Multiple dubboServices dynamically configure monitoring coverage,10673,OPEN,false,1,1,apache/dubbo,3.1,refs/heads/,Shy-Chen/dubbo,3.1,refs/heads/,2022-09-26,2022-09-26
Y3Vyc29yOjIw,jeecgboot,jeecg-boot,https://github.com/jeecgboot/jeecg-boot,1085,https://github.com/jeecgboot/jeecg-boot/pull/4164,fix dynamic cache exception,4164,OPEN,false,3,3,jeecgboot/jeecg-boot,master,refs/heads/,94464562/jeecg-boot,94464562-fix-dynamic-cache-exception,refs/heads/,2022-10-29,2022-10-29
Y3Vyc29yOjIw,jeecgboot,jeecg-boot,https://github.com/jeecgboot/jeecg-boot,1085,https://github.com/jeecgboot/jeecg-boot/pull/4163,add 401 exception code,4163,OPEN,false,2,2,jeecgboot/jeecg-boot,master,refs/heads/,94464562/jeecg-boot,master,refs/heads/,2022-10-29,2022-10-29
Y3Vyc29yOjIy,alibaba,arthas,https://github.com/alibaba/arthas,884,https://github.com/alibaba/arthas/pull/2329,fix issue: support ClassLoader#toString() for sc command.,2329,OPEN,false,4,2,alibaba/arthas,master,refs/heads/,pandaapo/arthas,master-issue2283,refs/heads/,2022-11-01,2022-11-01
Y3Vyc29yOjIy,alibaba,arthas,https://github.com/alibaba/arthas,884,https://github.com/alibaba/arthas/pull/2322,add docs about wc,2322,OPEN,false,6,1,alibaba/arthas,master,refs/heads/,javalover123/arthas,master,refs/heads/,2022-10-24,2022-10-24
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12993,Fix SocketHalfClosedTest,12993,OPEN,false,6,6,netty/netty,main,refs/heads/,chrisvest/netty,5x-sock-half-close,refs/heads/,2022-11-12,2022-11-12
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12991,Extend DNS address supplier interface to provide timing feedback,12991,OPEN,false,2,2,netty/netty,4.1,refs/heads/,watson-ryan/netty,4.1,refs/heads/,2022-11-12,2022-11-12
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12989,WebSocket frame decoding: replace byte array[4] frame mask with int.,12989,OPEN,false,3,3,netty/netty,4.1,refs/heads/,mostroverkhov/netty,ws-allocfree-mask2,refs/heads/,2022-11-11,2022-11-11
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12988,HPACK dynamic table size update must happen at the beginning of the h…,12988,OPEN,false,2,2,netty/netty,4.1,refs/heads/,vietj/netty,issue-12981,refs/heads/,2022-11-11,2022-11-11
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12985,HttpConnectionHandler should send a GO_AWAY frame with PROTOCOL_ERROR…,12985,OPEN,false,2,2,netty/netty,4.1,refs/heads/,vietj/netty,issue-12974,refs/heads/,2022-11-11,2022-11-11
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12980,Save promises type pollution due to interface type checks,12980,OPEN,true,1,1,netty/netty,4.1,refs/heads/,franz1981/netty,listener_type_pollution,refs/heads/,2022-11-09,2022-11-09
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12976,Avoid high contention on Cleaner registration/cleanup,12976,OPEN,false,5,5,netty/netty,main,refs/heads/,pderop/netty,netty5-avoid-cleaner-contention,refs/heads/,2022-11-08,2022-11-08
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12967,[ISSUE #12966] poolSubpage enhance,12967,OPEN,false,1,1,netty/netty,4.1,refs/heads/,RapperCL/netty,poolsubpage_enhance,refs/heads/,2022-11-06,2022-11-06
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12960,Add Support for TUN-based Channels (kqueue/epoll),12960,OPEN,false,31,27,netty/netty,4.1,refs/heads/,HeikoBornholdt/netty,tun,refs/heads/,2022-11-03,2022-11-03
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12924,Use Stream Compression instead of Single-shot Compression in `BrotliEncoder`,12924,OPEN,false,2,2,netty/netty,4.1,refs/heads/,hyperxpro/netty,brotli-encoder,refs/heads/,2022-10-21,2022-10-21
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12898,[Feature] Add OCSP Validation for Server Certificate,12898,OPEN,false,11,9,netty/netty,4.1,refs/heads/,hyperxpro/netty,ocsp,refs/heads/,2022-10-14,2022-10-14
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12878,Apply Nullity annotations,12878,OPEN,false,95,86,netty/netty,main,refs/heads/,jchrys/netty,5x-ide-integ-nullity-common,refs/heads/,2022-10-09,2022-10-09
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12463,We should only include maxAge when its not negative,12463,OPEN,false,2,2,netty/netty,4.1,refs/heads/,netty/netty,max_age,refs/heads/,2022-06-13,2022-06-13
Y3Vyc29yOjI0,netty,netty,https://github.com/netty/netty,120116,https://github.com/netty/netty/pull/12321,Speed-up HTTP 1.1 header and line parsing,12321,OPEN,false,3,3,netty/netty,4.1,refs/heads/,franz1981/netty,fast_header_parse,refs/heads/,2022-04-20,2022-04-20
Y3Vyc29yOjMw,alibaba,druid,https://github.com/alibaba/druid,309589,https://github.com/alibaba/druid/pull/4995,当 validationQuery 未设置时通过 jdbc url 自动探测一个恰当的 validationQuery,4995,OPEN,false,1,1,alibaba/druid,master,refs/heads/,vdisk-group/druid,master,refs/heads/,2022-11-10,2022-11-10
Y3Vyc29yOjMw,alibaba,druid,https://github.com/alibaba/druid,309589,https://github.com/alibaba/druid/pull/4991,fix some typos,4991,OPEN,false,4,4,alibaba/druid,master,refs/heads/,dashen-tech/druid,master,refs/heads/,2022-11-09,2022-11-09
Y3Vyc29yOjMw,alibaba,druid,https://github.com/alibaba/druid,309589,https://github.com/alibaba/druid/pull/4986,Update DruidAbstractDataSource.java,4986,OPEN,false,1,1,alibaba/druid,master,refs/heads/,cbc666/druid,master,refs/heads/,2022-11-04,2022-11-04
Y3Vyc29yOjMw,alibaba,druid,https://github.com/alibaba/druid,309589,https://github.com/alibaba/druid/pull/4983,fix issues:#2840,4983,OPEN,false,2,2,alibaba/druid,master,refs/heads/,SoledadVac/druid,master,refs/heads/,2022-11-01,2022-11-01
Y3Vyc29yOjMw,alibaba,druid,https://github.com/alibaba/druid,309589,https://github.com/alibaba/druid/pull/4930,初步实现对SAP HANA数据库的支持,4930,OPEN,false,53,47,alibaba/druid,master,refs/heads/,nukiyoam/druid,nukiyoam/dev,refs/heads/,2022-09-13,2022-09-13
Y3Vyc29yOjMx,alibaba,easyexcel,https://github.com/alibaba/easyexcel,13120,https://github.com/alibaba/easyexcel/pull/2795,:bug: buildHead 应在 readListener 的 invokeHead 全部执行完成后执行,2795,OPEN,false,4,4,alibaba/easyexcel,developing,refs/heads/,Hccake/easyexcel,developing,refs/heads/,2022-11-04,2022-11-04
Y3Vyc29yOjMx,alibaba,easyexcel,https://github.com/alibaba/easyexcel,13120,https://github.com/alibaba/easyexcel/pull/2787,代码优化，移除没有使用的对象,2787,OPEN,false,1,1,alibaba/easyexcel,master,refs/heads/,zhangzq7/easyexcel,master,refs/heads/,2022-11-02,2022-11-02
Y3Vyc29yOjMx,alibaba,easyexcel,https://github.com/alibaba/easyexcel,13120,https://github.com/alibaba/easyexcel/pull/2565,feat: 支持动态列的写入，基于实体对象类，实现动态变更列的顺序和列名,2565,OPEN,false,8,8,alibaba/easyexcel,developing,refs/heads/,WangFaRui/easyexcel,developing,refs/heads/,2022-06-27,2022-06-27
Y3Vyc29yOjMx,alibaba,easyexcel,https://github.com/alibaba/easyexcel,13120,https://github.com/alibaba/easyexcel/pull/1561,支持写excel实体对象含有列表类型属性字段，可进行动态写入,1561,OPEN,false,9,9,alibaba/easyexcel,developing,refs/heads/,dongfengfeng/easyexcel,dynamic_data,refs/heads/,2020-09-10,2020-09-10
Y3Vyc29yOjMx,alibaba,easyexcel,https://github.com/alibaba/easyexcel,13120,https://github.com/alibaba/easyexcel/pull/1316,新增了读图片的特性,1316,OPEN,false,18,16,alibaba/easyexcel,master,refs/heads/,dota17/easyexcel,ReadImage,refs/heads/,2020-05-15,2020-05-15
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9572,[ISSUE #9571] Split the PersistService class because it's too big,9572,OPEN,false,21,21,alibaba/nacos,develop,refs/heads/,li-xiao-shuang/nacos,feature_persist_service,refs/heads/,2022-11-13,2022-11-13
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9552,perf: Code optimization points,9552,OPEN,false,2,2,alibaba/nacos,develop,refs/heads/,zhantiao/nacos,develop,refs/heads/,2022-11-11,2022-11-11
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9520,InstanceMetadata Latest effective add,9520,OPEN,false,12,12,alibaba/nacos,develop,refs/heads/,godhth/nacos,devlop_issue6358,refs/heads/,2022-11-10,2022-11-10
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9519,Feature/plugin cleaner config history,9519,OPEN,false,24,18,alibaba/nacos,develop,refs/heads/,vividfish/nacos,feature/plugin_cleaner_configHistory,refs/heads/,2022-11-09,2022-11-09
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9518,[ISSUE #8694] Support prometheus http service discovery,9518,OPEN,false,9,3,alibaba/nacos,develop,refs/heads/,karsonto/nacos,develop-prometheus-v2,refs/heads/,2022-11-09,2022-11-09
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9505,[ISSUE #9643] Fixed Possible JSON Ordering Permutations Problem in Tests,9505,OPEN,false,2,2,alibaba/nacos,develop,refs/heads/,bmk15897/nacos,flaky-fix,refs/heads/,2022-11-08,2022-11-08
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9477,[ISSUE #9474] 持久化实例的健康检查方式改为http后，部分实例显示为不健康,9477,OPEN,false,1,1,alibaba/nacos,develop,refs/heads/,zz630/nacos,develop,refs/heads/,2022-11-04,2022-11-04
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9333,[ISSUE #8694] Support prometheus http service discovery,9333,OPEN,false,14,6,alibaba/nacos,develop,refs/heads/,karsonto/nacos,develop-http-sd,refs/heads/,2022-10-16,2022-10-16
Y3Vyc29yOjM2,alibaba,nacos,https://github.com/alibaba/nacos,6466,https://github.com/alibaba/nacos/pull/9042,[ISSUE #8458] Support capability negotiation,9042,OPEN,false,49,47,alibaba/nacos,asoc2022_issue#8458,refs/heads/,Daydreamer-ia/nacos,asoc2022_issue#8458,refs/heads/,2022-08-28,2022-08-28
